0.000000,I
0.033367,P
0.066733,P
0.100100,P
0.133467,P
0.166833,P
0.200200,P
0.233567,P
0.266933,P
0.300300,P
0.333667,P
0.367033,P
0.400400,P
0.433767,P
0.467133,P
0.500500,P
0.533867,P
0.567233,P
0.600600,P
0.633967,P
0.667333,P
0.700700,P
0.734067,P
0.767433,P
0.800800,P
0.834167,P
0.867533,P
0.900900,P
0.934267,P
0.967633,P
1.001000,I
1.034367,P
1.067733,P
1.101100,P
1.134467,P
1.167833,P
1.201200,P
1.234567,P
1.267933,P
1.301300,P
1.334667,P
1.368033,P
1.401400,P
1.434767,P
1.468133,P
1.501500,P
1.534867,P
1.568233,P
1.601600,P
1.634967,P
1.668333,P
1.701700,P
1.735067,P
1.768433,P
1.801800,P
1.835167,P
1.868533,P
1.901900,P
1.935267,P
1.968633,P
2.002000,I
2.035367,P
2.068733,P
2.102100,P
2.135467,P
2.168833,P
2.202200,P
2.235567,P
2.268933,P
2.302300,P
2.335667,P
2.369033,P
2.402400,P
2.435767,P
2.469133,P
2.502500,P
2.535867,P
2.569233,P
2.602600,P
2.635967,P
2.669333,P
2.702700,P
2.736067,P
2.769433,P
2.802800,P
2.836167,P
2.869533,P
2.902900,P
2.936267,P
2.969633,P
3.003000,I
3.036367,P
3.069733,P
3.103100,P
3.136467,P
3.169833,P
3.203200,P
3.236567,P
3.269933,P
3.303300,P
3.336667,P
3.370033,P
3.403400,P
3.436767,P
3.470133,P
3.503500,P
3.536867,P
3.570233,P
3.603600,P
3.636967,P
3.670333,P
3.703700,P
3.737067,P
3.770433,P
3.803800,P
3.837167,P
3.870533,P
3.903900,P
3.937267,P
3.970633,P
4.004000,I
4.037367,P
4.070733,P
4.104100,P
4.137467,P
4.170833,P
4.204200,P
4.237567,P
4.270933,P
4.304300,P
4.337667,P
4.371033,P
4.404400,P
4.437767,P
4.471133,P
4.504500,P
4.537867,P
4.571233,P
4.604600,P
4.637967,P
4.671333,P
4.704700,P
4.738067,P
4.771433,P
4.804800,P
4.838167,P
4.871533,P
4.904900,P
4.938267,P
4.971633,P
5.005000,I
5.038367,P
5.071733,P
5.105100,P
5.138467,P
5.171833,P
5.205200,P
5.238567,P
5.271933,P
5.305300,P
5.338667,P
5.372033,P
5.405400,P
5.438767,P
5.472133,P
5.505500,P
5.538867,P
5.572233,P
5.605600,P
5.638967,P
5.672333,P
5.705700,P
5.739067,P
5.772433,P
5.805800,P
5.839167,P
5.872533,P
5.905900,P
5.939267,P
5.972633,P
6.006000,I
6.039367,P
6.072733,P
6.106100,P
6.139467,P
6.172833,P
6.206200,P
6.239567,P
6.272933,P
6.306300,P
6.339667,P
6.373033,P
6.406400,P
6.439767,P
6.473133,P
6.506500,P
6.539867,P
6.573233,P
6.606600,P
6.639967,P
6.673333,P
6.706700,P
6.740067,P
6.773433,P
